company_name,country,registration_number,industry,description,website,facility_count,source,extracted_at
Morocco Industrial Group 1 LDA,Morocco,MO-434682,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company1.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 2 SA,Morocco,MO-611450,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company2.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 3 Ltd,Morocco,MO-213110,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company3.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 4 Company,Morocco,MO-462141,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company4.com,8,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 5 LDA,Morocco,MO-718675,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company5.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 6 SARL,Morocco,MO-216744,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company6.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 7 SA,Morocco,MO-296329,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company7.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 8 LDA,Morocco,MO-921331,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company8.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 9 SARL,Morocco,MO-454144,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company9.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 10 SA,Morocco,MO-563435,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company10.com,6,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 11 SARL,Morocco,MO-377204,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company11.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 12 Company,Morocco,MO-386656,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company12.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 13 Company,Morocco,MO-423654,Leather Goods,"Company operating in the leather goods sector, specializing in regional and international supply chains.",https://www.company13.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 14 SARL,Morocco,MO-248109,Packaging,"Company operating in the packaging sector, specializing in regional and international supply chains.",https://www.company14.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 15 SPA,Morocco,MO-921272,Agriculture,"Company operating in the agriculture sector, specializing in regional and international supply chains.",https://www.company15.com,12,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 16 SARL,Morocco,MO-832126,Garment Manufacturing,"Company operating in the garment manufacturing sector, specializing in regional and international supply chains.",https://www.company16.com,4,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 17 SARL,Morocco,MO-234105,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company17.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 18 SPA,Morocco,MO-644935,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company18.com,5,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 19 SPA,Morocco,MO-231229,Footwear,"Company operating in the footwear sector, specializing in regional and international supply chains.",https://www.company19.com,9,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 20 SPA,Morocco,MO-419766,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company20.com,3,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 21 SA,Morocco,MO-862292,Textiles,"Company operating in the textiles sector, specializing in regional and international supply chains.",https://www.company21.com,7,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
Morocco Industrial Group 22 LDA,Morocco,MO-916233,Logistics,"Company operating in the logistics sector, specializing in regional and international supply chains.",https://www.company22.com,1,OpenSupplyHub (synthetic),2025-12-24T11:58:00.760644
